,Unnamed: 0,BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,IssuerId2,StateCode2,ServiceAreaId,ServiceAreaName,CoverEntireState,County,PartialCounty,ZipCodes,PartialCountyJustification,RowNumber,MarketCoverage,DentalOnlyPlan,DentalOnly
3530,3530,2016,NC,61671,HIOS,10,2015-10-18 12:35:12,61671,NC,NCS004,HMO_Carolinas HealthCare,No,37025.0,No,,,45,,,
27885,3133,2015,MO,32753,HIOS,20,2015-07-22 09:15:52,32753,MO,MOS009,Healthy Alliance Life Co(Anthem BCBS)Dental,No,29065.0,No,,,209,,,
24950,198,2015,AL,82285,HIOS,8,2014-11-14 05:23:27,82285,AL,ALS001,PPO,Yes,,,,,13,,,
14349,14349,2016,VA,16064,SERFF,6,2015-08-25 12:56:34,16064,VA,VAS001,Anthem Health Plans of VA(Anthem BCBS)All,No,51023.0,No,,,24,SHOP (Small Group),Yes,
4992,4992,2016,TN,14002,HIOS,5,2015-10-20 04:38:50,14002,TN,TNS009,Network E - Chatt/Knox/Mem,No,47151.0,No,,,132,,,
34613,9861,2015,IL,20129,SERFF,9,2015-07-24 22:33:25,20129,IL,ILS001,Illinois,No,17185.0,No,,,97,SHOP (Small Group),,No
10673,10673,2016,MI,29698,SERFF,6,2015-10-21 17:48:08,29698,MI,MIS001,HMO Service Area,No,26001.0,No,,,13,Individual,No,
7334,7334,2016,WI,69589,HIOS,1,2015-04-29 10:59:03,69589,WI,WIS001,DentalGuard Preferred PPO Group On & Off Exchange,No,55135.0,No,,,42,,,
28152,3400,2015,MO,44527,HIOS,8,2014-10-05 17:13:14,44527,MO,MOS002,CoventryOne Carelink from Coventry Network,No,29183.0,No,,,80,,,
13306,13306,2016,OH,68158,SERFF,7,2015-08-20 12:28:36,68158,OH,OHS002,DentalGuard Preferred Group ON EXCHANGE & Individual ON & OFF EXCHANGE,No,39049.0,No,,,19,Individual,Yes,
39260,14508,2015,NV,54199,SERFF,4,2014-09-09 16:12:42,54199,NV,NVS001,Nevada - HMO Carson City,No,32510.0,No,,,14,SHOP (Small Group),,Yes
7292,7292,2016,WI,58564,HIOS,7,2015-10-20 04:38:50,58564,WI,WIS001,Service Area One,No,55045.0,No,,,17,,,
10255,10255,2016,MI,11083,SERFF,3,2015-08-22 23:36:24,11083,MI,MIS001,MetLife Preferred Dental Program,No,26155.0,No,,,89,SHOP (Small Group),Yes,
22930,7052,2014,NE,45550,SERFF,5,2014-01-21 11:24:32,45550,NE,NES001,State of Nebraska,Yes,,,,,13,Individual,,Yes
19421,3543,2014,MO,32753,OPM,2,2013-11-27 09:24:34,32753,MO,MOS001,Southeast,No,29069.0,No,,,41,Individual,,No
25654,902,2015,FL,86382,HIOS,6,2015-02-19 06:21:02,86382,FL,FLS001,Sunshine Health,No,12099.0,No,,,15,,,
17818,1940,2014,OK,53524,HIOS,6,2013-11-26 13:14:08,53524,OK,OKS001,CH&L-OK PPO,No,40065.0,No,,,22,,,
36427,11675,2015,MI,12858,SERFF,4,2015-01-21 12:15:34,12858,MI,MIS001,Michigan,No,26017.0,No,,,20,Individual,,Yes
1317,1317,2016,GA,82824,HIOS,8,2015-10-18 12:35:12,82824,GA,GAS010,OA POS_Georgia_Off Exchange,No,13307.0,No,,,156,,,
11107,11107,2016,MI,41183,SERFF,5,2015-08-24 05:58:52,41183,MI,MIS001,Michigan,No,26035.0,No,,,30,SHOP (Small Group),Yes,
7827,7827,2016,NC,11512,OPM,2,2015-08-27 15:13:29,11512,NC,NCS201,Blue Adv,No,37147.0,No,,,74,Individual,No,
16474,596,2014,GA,93332,HIOS,8,2014-01-16 07:24:04,93332,GA,GAS001,Georgia NPOS,No,13265.0,No,,,66,,,
14995,14995,2016,VA,54965,SERFF,7,2015-08-25 12:56:34,54965,VA,VAS001,DDS DHMO,No,51033.0,No,,,53,Individual,Yes,
9736,9736,2016,KS,18558,SERFF,7,2015-08-25 12:56:34,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas Service Area,No,20101.0,No,,,62,Individual,No,
24493,8615,2014,VA,54965,SERFF,4,2013-09-05 10:37:54,54965,VA,VAS002,DDS PPO,No,51087.0,No,,,84,SHOP (Small Group),,Yes
36518,11766,2015,MI,12858,SERFF,4,2015-01-21 12:15:34,12858,MI,MIS001,Michigan,No,26123.0,No,,,66,Individual,,Yes
40315,15563,2015,OR,10091,SERFF,14,2015-01-22 16:02:51,10091,OR,ORS003,OR Statewide Region M&D,Yes,,,,,31,Individual,,Yes
35911,11159,2015,KS,63790,SERFF,6,2014-11-04 20:29:03,63790,KS,KSS001,Service Area 1,No,20059.0,No,,,37,SHOP (Small Group),,Yes
7635,7635,2016,KS,18558,OPM,3,2015-11-18 10:26:26,18558,KS,KSS201,Blue Cross and Blue Shield of Kansas Service Area,No,20155.0,No,,,89,Individual,No,
24854,102,2015,PA,33709,HIOS,14,2015-06-19 13:25:37,33709,PA,PAS003,Zone C - West,No,42033.0,No,,,60,,,
16626,748,2014,IN,85320,HIOS,7,2014-01-21 08:29:49,85320,IN,INS017,MDwise,No,18081.0,No,,,42,,,
40764,16012,2015,SD,11782,SERFF,1,2014-08-04 09:42:01,11782,SD,SDS001,South Dakota,Yes,,,,,13,SHOP (Small Group),,Yes
10174,10174,2016,ME,96667,SERFF,3,2015-08-23 14:39:40,96667,ME,MES002,Maine's Choice,No,23023.0,No,,,21,Individual,No,
15487,15487,2016,VA,88380,SERFF,24,2015-10-21 17:48:08,88380,VA,VAS001,"HealthKeepers, Inc(Anthem BCBS)All",No,51840.0,No,,,139,Individual,No,
14051,14051,2016,OR,63474,SERFF,7,2015-10-21 17:48:08,63474,OR,ORS002,AHN,No,41051.0,No,,,15,Individual,No,
7305,7305,2016,WI,69589,HIOS,1,2015-04-29 10:59:03,69589,WI,WIS001,DentalGuard Preferred PPO Group On & Off Exchange,No,55001.0,No,,,13,,,
12521,12521,2016,NE,29678,SERFF,5,2015-09-25 06:20:33,29678,NE,NES003,PPO Outside Metro,No,31077.0,No,,,55,Individual,No,
17095,1217,2014,MS,48963,HIOS,10,2014-03-19 07:06:49,48963,MS,MSS002,Memphis,No,28033.0,No,,,16,,,
10781,10781,2016,MI,29698,SERFF,6,2015-10-21 17:48:08,29698,MI,MIS003,POS Service Area,No,26105.0,No,,,121,Individual,No,
41748,16996,2015,VA,54965,SERFF,7,2014-09-09 16:12:42,54965,VA,VAS001,DDS DHMO VA,No,51830.0,No,,,51,SHOP (Small Group),,Yes
20588,4710,2014,ID,60597,SERFF,9,2013-10-16 19:58:29,60597,ID,IDS002,BrightPath Network,No,16059.0,No,,,36,Individual,,No
6714,6714,2016,TX,55409,HIOS,6,2015-08-26 09:56:12,55409,TX,TXS003,Dallas - Narrow,No,48121.0,No,,,52,,,
4075,4075,2016,PA,15614,HIOS,4,2015-10-21 05:00:18,15614,PA,PAS002,DDS Access PPO,No,42061.0,No,,,85,,,
16076,198,2014,FL,23841,HIOS,6,2013-11-26 13:14:08,23841,FL,FLS001,QHP PPO_OAMC_Florida,No,12117.0,No,,,31,,,
28722,3970,2015,NC,11512,HIOS,9,2015-01-16 17:32:32,11512,NC,NCS004,Blue Select Target,No,37169.0,No,,,47,,,
31884,7132,2015,TX,23891,HIOS,10,2014-11-15 04:52:41,23891,TX,TXS001,DHMO,No,48399.0,No,,,167,,,
36579,11827,2015,MI,15560,SERFF,10,2015-05-22 14:18:43,15560,MI,MIS003,Dental PPO,No,26093.0,No,,,60,Individual,,Yes
38204,13452,2015,MI,66587,SERFF,3,2014-09-09 16:12:42,66587,MI,MIS001,DentalGuard Preferred PPO- MI,No,26071.0,No,,,45,SHOP (Small Group),,Yes
24865,113,2015,AK,73836,HIOS,15,2015-04-22 11:06:15,73836,AK,AKS001,Alaska,Yes,,,,,13,,,
26438,1686,2015,GA,63940,HIOS,4,2014-08-27 03:27:11,63940,GA,GAS001,DentalGuard Preferred PPO - GA,No,13065.0,No,,,42,,,
26279,1527,2015,GA,49046,HIOS,19,2015-01-16 17:32:32,49046,GA,GAS006,"BCBS Healthcare Plan of Georgia, Inc.05",No,13125.0,No,,,61,,,
1406,1406,2016,GA,89942,HIOS,7,2015-10-20 04:38:50,89942,GA,GAS002,Individual,No,13135.0,No,,,59,,,
12953,12953,2016,NV,43126,SERFF,3,2015-08-21 06:27:38,43126,NV,NVS001,NDB Service Area 1,No,32023.0,No,,,14,Individual,Yes,
17870,1992,2014,OK,53524,HIOS,6,2013-11-26 13:14:08,53524,OK,OKS001,CH&L-OK PPO,No,40135.0,No,,,74,,,
18326,2448,2014,PA,75729,HIOS,11,2013-12-20 07:30:10,75729,PA,PAS001,Geisinger Health Plan,No,42107.0,No,,,44,,,
41364,16612,2015,VA,20507,SERFF,14,2014-11-15 10:06:04,20507,VA,VAS001,OHP Service Area,No,51177.0,No,,,120,SHOP (Small Group),,No
29639,4887,2015,OK,87571,HIOS,11,2015-02-19 06:21:02,87571,OK,OKS052,Blue Preferred PPO,No,40085.0,No,,,61,,,
10408,10408,2016,MI,15560,SERFF,9,2015-08-28 13:59:00,15560,MI,MIS003,Dental PPO,No,26135.0,No,,,86,SHOP (Small Group),Yes,
25072,320,2015,FL,15833,HIOS,10,2015-01-16 17:32:32,15833,FL,FLS001,DentalGuard Preferred PPO-FL,No,12071.0,No,,,43,,,
6576,6576,2016,TX,37755,HIOS,6,2015-10-21 05:00:18,37755,TX,TXS001,SWHP PPO Service Area,No,48491.0,No,,,67,,,
6117,6117,2016,TX,26539,HIOS,13,2015-10-18 12:35:12,26539,TX,TXS001,FirstCare HMO Service Area,No,48125.0,No,,,40,,,
22879,7001,2014,NE,15438,SERFF,5,2013-10-15 10:04:03,15438,NE,NES001,Nebraska 1,No,31105.0,No,,,64,SHOP (Small Group),,No
23321,7443,2014,SD,62210,SERFF,8,2014-06-23 15:22:56,62210,SD,SDS001,South Dakota,Yes,,,,,13,SHOP (Small Group),,No
12937,12937,2016,NV,16698,SERFF,5,2015-08-20 12:28:36,16698,NV,NVS001,Northern Nevada,No,32031.0,No,,,13,Individual,No,
17577,1699,2014,PA,55957,HIOS,5,2013-11-26 13:14:08,55957,PA,PAS001,Northeastern Pennsylvania,No,42131.0,No,,,25,,,
1568,1568,2016,IN,17575,HIOS,7,2015-08-26 09:56:12,17575,IN,INS007,Anthem Ins Companies Inc(Anthem BCBS)06,No,18131.0,No,,,41,,,
39952,15200,2015,OH,64353,SERFF,3,2014-09-11 12:10:19,64353,OH,OHS001,Molina,No,39049.0,No,,,20,Individual,,No
17540,1662,2014,PA,22444,HIOS,9,2014-01-21 08:29:49,22444,PA,PAS001,Geisinger Health Plan,No,42065.0,No,,,28,,,
34807,10055,2015,IL,68303,SERFF,6,2015-01-31 17:35:53,68303,IL,ILS001,IL CPOS,No,17143.0,No,,,24,Individual,,No
27558,2806,2015,MO,16049,HIOS,9,2014-12-11 04:09:12,16049,MO,MOS001,Missouri - IEX,No,29175.0,No,,,40,,,
41529,16777,2015,VA,88380,SERFF,21,2015-04-22 14:50:56,88380,VA,VAS001,"HealthKeepers, Inc(Anthem BCBS)All",No,51089.0,No,,,69,Individual,,No
38140,13388,2015,MI,61465,SERFF,3,2014-09-11 12:10:19,61465,MI,MIS001,Michigan,No,26105.0,No,,,60,SHOP (Small Group),,Yes
4936,4936,2016,PA,70194,HIOS,10,2015-11-14 04:47:21,70194,PA,PAS001,Zone A - West,No,42063.0,No,,,24,,,
27190,2438,2015,IN,67920,HIOS,10,2015-01-16 17:32:32,67920,IN,INS001,SIHO Off-Exchange,No,18083.0,No,,,31,,,
1722,1722,2016,IN,50816,HIOS,7,2015-08-26 09:56:12,50816,IN,INS001,PHP-40,No,18095.0,No,,,35,,,
32796,8044,2015,TX,55409,HIOS,14,2015-01-16 17:32:32,55409,TX,TXS003,Dental,Yes,,,,,50,,,
26429,1677,2015,GA,63940,HIOS,4,2014-08-27 03:27:11,63940,GA,GAS001,DentalGuard Preferred PPO - GA,No,13045.0,No,,,33,,,
14388,14388,2016,VA,16064,SERFF,6,2015-08-25 12:56:34,16064,VA,VAS001,Anthem Health Plans of VA(Anthem BCBS)All,No,51683.0,No,,,85,Individual,Yes,
39171,14419,2015,NE,19524,SERFF,10,2014-11-14 14:52:18,19524,NE,NES002,Service Area 2,No,31169.0,Yes,"68303, 68315, 68322, 68325, 68326, 68327, 68335, 68340, 68362, 68370, 68375, 68416, 68429, 68453",19524-Partial County.doc,85,Individual,,No
19766,3888,2014,WI,58564,HIOS,8,2014-01-17 09:36:20,58564,WI,WIS003,All,No,55049.0,No,,,29,,,
26101,1349,2015,GA,47783,HIOS,4,2014-09-06 03:39:47,47783,GA,GAS005,OA HMO_Valdosta Georgia,No,13101.0,No,,,33,,,
24345,8467,2014,VA,40308,SERFF,10,2014-07-28 14:39:22,40308,VA,VAS001,NoVa,No,51107.0,Yes,20598,see upload for VAS001 Justification,18,SHOP (Small Group),,No
33298,8546,2015,MI,41895,OPM,6,2015-01-23 12:43:55,41895,MI,MIS201,CMI Preferred PPO,No,26121.0,No,,,62,SHOP (Small Group),,No
22622,6744,2014,MI,98185,SERFF,8,2014-01-22 11:51:12,98185,MI,MIS001,BCN Commercial,No,26025.0,No,,,43,Individual,,No
4998,4998,2016,TN,14002,HIOS,5,2015-10-20 04:38:50,14002,TN,TNS009,Network E - Chatt/Knox/Mem,No,47157.0,No,,,138,,,
853,853,2016,GA,49046,HIOS,16,2015-08-25 05:06:23,49046,GA,GAS001,"BCBS Healthcare Plan of Georgia, Inc.All",Yes,,,,,13,,,
26688,1936,2015,GA,93332,HIOS,10,2014-09-29 21:43:29,93332,GA,GAS001,Georgia NPOS,No,13157.0,No,,,45,,,
6103,6103,2016,TX,26539,HIOS,13,2015-10-18 12:35:12,26539,TX,TXS001,FirstCare HMO Service Area,No,48069.0,No,,,26,,,
38333,13581,2015,MI,98185,SERFF,5,2015-04-30 14:45:44,98185,MI,MIS001,BCN Commercial,No,26033.0,No,,,27,Individual,,No
16006,128,2014,AZ,88925,HIOS,5,2014-01-17 09:36:20,88925,AZ,AZS017,UAHP HMO.7,No,4012.0,No,,,30,,,
24758,6,2015,PA,70406,HIOS,2,2014-08-05 13:28:44,70406,PA,PAS001,Pennsylvania,No,42065.0,No,,,41,,,
17069,1191,2014,MO,44527,HIOS,7,2014-01-21 08:29:49,44527,MO,MOS001,PPO Network,No,29203.0,No,,,67,,,
2491,2491,2016,MO,44240,HIOS,5,2015-08-26 09:56:12,44240,MO,MOS003,OA EPO_Missouri_Kansas City_On Exchange,No,29195.0,No,,,86,,,
29346,4594,2015,NJ,91762,HIOS,6,2015-07-22 09:15:52,91762,NJ,NJS002,Value Network,No,34033.0,No,,,29,,,
39880,15128,2015,OH,33931,SERFF,5,2014-12-11 11:35:20,33931,OH,OHS001,Ohio - IEX,No,39155.0,No,,,31,Individual,,No
33321,8569,2015,WI,39924,HIOS,9,2014-12-11 04:09:12,39924,WI,WIS001,Wisconsin - IEX and SHOP,No,55049.0,No,,,26,,,
28469,3717,2015,MS,48963,HIOS,16,2015-01-16 17:32:32,48963,MS,MSS002,Memphis,No,28033.0,No,,,16,,,
39903,15151,2015,OH,52664,SERFF,12,2015-04-30 14:45:44,52664,OH,OHS001,SU-PO-ME-AS-ST-CA-WA-HO-CU-GE-LA-LO-AH-MA-TR,No,39085.0,No,,,22,Individual,,No
12952,12952,2016,NV,43126,SERFF,3,2015-08-21 06:27:38,43126,NV,NVS001,NDB Service Area 1,No,32003.0,No,,,13,Individual,Yes,
26728,1976,2015,GA,93332,HIOS,10,2014-09-29 21:43:29,93332,GA,GAS001,Georgia NPOS,No,13109.0,No,,,85,,,
26498,1746,2015,GA,63940,HIOS,4,2014-08-27 03:27:11,63940,GA,GAS001,DentalGuard Preferred PPO - GA,No,13199.0,No,,,102,,,
20944,5066,2014,IL,58288,SERFF,3,2013-09-02 14:52:56,58288,IL,ILS002,Chicago HMOx,No,17031.0,No,,,15,Individual,,No
29410,4658,2015,OK,29176,HIOS,7,2014-11-11 04:41:18,29176,OK,OKS003,Service Area 3,No,40069.0,No,,,59,,,
30649,5897,2015,PA,55957,HIOS,7,2015-02-14 07:15:27,55957,PA,PAS001,Northeastern Pennsylvania,No,42081.0,No,,,15,,,
12569,12569,2016,NE,29678,SERFF,5,2015-09-25 06:20:33,29678,NE,NES003,PPO Outside Metro,No,31181.0,No,,,103,Individual,No,
29315,4563,2015,NJ,79422,HIOS,4,2014-11-14 05:23:27,79422,NJ,NJS001,Dental Managed Care,No,34017.0,No,,,21,,,
40042,15290,2015,OH,68158,SERFF,2,2014-09-09 16:12:42,68158,OH,OHS001,DentalGuard Preferred PPO - OH,No,39037.0,No,,,27,SHOP (Small Group),,Yes
33720,8968,2015,KS,18558,OPM,1,2014-08-15 09:47:40,18558,KS,KSS201,Blue Cross and Blue Shield of Kansas Service Area,No,20093.0,No,,,58,Individual,,No
11171,11171,2016,MI,41183,SERFF,5,2015-08-24 05:58:52,41183,MI,MIS001,Michigan,No,26165.0,No,,,94,SHOP (Small Group),Yes,
20452,4574,2014,IA,71268,SERFF,8,2014-01-23 12:49:01,71268,IA,IAS003,CoOportunity Preferred UI Health Alliance,No,19197.0,No,,,90,Individual,,No
33296,8544,2015,MI,41895,OPM,6,2015-01-23 12:43:55,41895,MI,MIS201,CMI Preferred PPO,No,26119.0,No,,,61,Individual,,No
38464,13712,2015,MT,24867,SERFF,8,2014-11-04 20:29:03,24867,MT,MTS001,Service Area 1,No,30097.0,No,,,17,Individual,,No
35001,10249,2015,IL,85099,SERFF,2,2014-09-09 16:12:42,85099,IL,ILS001,DentalGuard Preferred PPO - IL,No,17101.0,No,,,55,SHOP (Small Group),,Yes
28697,3945,2015,NC,11512,HIOS,9,2015-01-16 17:32:32,11512,NC,NCS002,Blue Value Target,No,37171.0,No,,,22,,,
1438,1438,2016,GA,93332,HIOS,14,2015-08-27 11:14:25,93332,GA,GAS006,Georgia NPOS,No,13121.0,No,,,31,,,
33088,8336,2015,WI,38345,HIOS,4,2014-09-04 03:25:43,38345,WI,WIS001,Dean Health Plan HMO Service Area,No,55043.0,No,,,19,,,
4085,4085,2016,PA,15614,HIOS,4,2015-10-21 05:00:18,15614,PA,PAS002,DDS Access PPO,No,42105.0,No,,,95,,,
15334,15334,2016,VA,88380,SERFF,24,2015-10-21 17:48:08,88380,VA,VAS001,"HealthKeepers, Inc(Anthem BCBS)All",No,51081.0,No,,,63,Individual,No,
27348,2596,2015,LA,19636,HIOS,8,2014-12-06 05:18:25,19636,LA,LAS007,HMO Louisiana-Vision-Dental,No,22109.0,No,,,39,,,
11115,11115,2016,MI,41183,SERFF,5,2015-08-24 05:58:52,41183,MI,MIS001,Michigan,No,26051.0,No,,,38,SHOP (Small Group),Yes,
3297,3297,2016,NC,11512,HIOS,10,2015-08-26 09:56:12,11512,NC,NCS009,Blue Advantage,No,37163.0,No,,,248,,,
17182,1304,2014,NC,11512,HIOS,9,2014-01-29 08:00:05,11512,NC,NCS001,Blue Adv,Yes,,,,,13,,,
30685,5933,2015,PA,62560,HIOS,7,2014-12-12 09:23:47,62560,PA,PAS003,HMO 28 County,No,42063.0,No,,,36,,,
25182,430,2015,FL,15833,HIOS,10,2015-01-16 17:32:32,15833,FL,FLS003,Managed DentalGuard Group DHMO- FL,No,12101.0,No,,,153,,,
23168,7290,2014,OH,92036,SERFF,6,2014-06-23 15:22:56,92036,OH,OHS007,North,No,39035.0,No,,,20,Individual,,No
11950,11950,2016,MI,75936,SERFF,4,2015-08-24 05:58:52,75936,MI,MIS002,Renaissance,No,26015.0,No,,,21,Individual,Yes,
5363,5363,2016,PA,94118,HIOS,1,2015-05-01 02:23:41,94118,PA,PAS001,Pennsylvania,No,42103.0,No,,,59,,,
3407,3407,2016,NC,55440,HIOS,5,2015-08-19 14:41:20,55440,NC,NCS001,DentalGuard Preferred Group ON Exchange & Individual Off & On,No,37003.0,No,,,14,,,
31046,6294,2015,PA,91303,HIOS,6,2014-09-06 03:39:47,91303,PA,PAS001,OA HMO_Pennsylvania,No,42111.0,No,,,61,,,
34452,9700,2015,IL,20129,SERFF,9,2015-07-24 22:33:25,20129,IL,ILS001,Illinois Public,No,17009.0,No,,,17,Individual,,No
27040,2288,2015,IN,59560,HIOS,5,2014-08-27 03:27:11,59560,IN,INS001,DentalGuard Preferred PPO- IN,No,18053.0,No,,,38,,,
32309,7557,2015,TX,28020,HIOS,6,2014-11-11 04:41:18,28020,TX,TXS011,Service Area 11,No,48373.0,No,,,222,,,
3147,3147,2016,NC,11512,HIOS,10,2015-08-26 09:56:12,11512,NC,NCS005,Blue Select Other,No,37055.0,No,,,98,,,
22462,6584,2014,MI,67577,SERFF,5,2013-11-27 09:24:34,67577,MI,MIS001,Service Area Livingston,No,26093.0,No,,,23,SHOP (Small Group),,No
36478,11726,2015,MI,12858,SERFF,4,2015-01-21 12:15:34,12858,MI,MIS001,Michigan,No,26077.0,No,,,46,SHOP (Small Group),,Yes
23030,7152,2014,OH,52664,SERFF,8,2014-01-21 11:24:32,52664,OH,OHS005,"6 - ER, HU, OT, SA, SE",No,39143.0,No,,,29,SHOP (Small Group),,No
12693,12693,2016,NE,50022,SERFF,3,2015-08-22 23:36:24,50022,NE,NES001,NE Service Area,No,31147.0,No,,,70,SHOP (Small Group),Yes,
31084,6332,2015,PA,94118,HIOS,2,2014-08-03 08:59:32,94118,PA,PAS001,Pennsylvania,No,42061.0,No,,,39,,,
32377,7625,2015,TX,28020,HIOS,6,2014-11-11 04:41:18,28020,TX,TXS015,Service Area 15,No,48445.0,No,,,290,,,
12439,12439,2016,NE,15438,SERFF,5,2015-08-25 12:56:34,15438,NE,NES001,OA_POS_Nebraska,No,31141.0,No,,,81,Individual,No,
16446,568,2014,GA,93332,HIOS,8,2014-01-16 07:24:04,93332,GA,GAS001,Georgia NPOS,No,13045.0,No,,,38,,,
40903,16151,2015,SD,80261,SERFF,2,2014-08-04 09:42:01,80261,SD,SDS001,South Dakota Service Area,No,46027.0,No,,,15,SHOP (Small Group),,Yes
34178,9426,2015,VA,88380,OPM,7,2014-12-12 12:37:36,88380,VA,VAS201,"HealthKeepers, Inc(Anthem BCBS)All",No,51093.0,No,,,72,Individual,,No
12580,12580,2016,NE,50022,SERFF,3,2015-08-22 23:36:24,50022,NE,NES001,NE Service Area,No,31001.0,No,,,13,SHOP (Small Group),Yes,
19403,3525,2014,MO,32753,OPM,2,2013-11-27 09:24:34,32753,MO,MOS001,Joplin,No,29011.0,No,,,23,Individual,,No
26762,2010,2015,IN,17575,HIOS,14,2014-12-12 09:23:47,17575,IN,INS003,Anthem Ins Companies Inc(Anthem BCBS)02,No,18141.0,No,,,20,,,
9799,9799,2016,KS,18558,SERFF,7,2015-08-25 12:56:34,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas Service Area,No,20165.0,No,,,94,SHOP (Small Group),No,
5046,5046,2016,PA,70194,HIOS,10,2015-11-14 04:47:21,70194,PA,PAS006,Zone F - Central,No,42109.0,No,,,96,,,
4451,4451,2016,PA,36247,HIOS,8,2015-08-26 09:56:12,36247,PA,PAS001,Zone A - West,No,42039.0,No,,,13,,,
29997,5245,2015,PA,16322,HIOS,6,2014-11-09 04:38:15,16322,PA,PAS006,PPO 29 County,No,42073.0,No,,,72,,,
10460,10460,2016,MI,26380,SERFF,4,2015-08-22 23:36:24,26380,MI,MIS001,Service Area 1,No,26041.0,No,,,33,SHOP (Small Group),Yes,
5675,5675,2016,TN,99248,HIOS,7,2015-08-25 05:06:23,99248,TN,TNS001,Tennessee Local Plus,No,47157.0,No,,,16,,,
14574,14574,2016,VA,20507,SERFF,14,2015-10-21 17:48:08,20507,VA,VAS001,OHP Service Area,No,51735.0,No,,,84,Individual,No,
35581,10829,2015,KS,27811,SERFF,2,2014-09-04 06:14:21,27811,KS,KSS001,BlueCross BlueShield Kansas Solutions Service Area,No,20131.0,No,,,77,Individual,,No
2162,2162,2016,MO,32753,HIOS,14,2015-10-18 12:35:12,32753,MO,MOS001,Healthy Alliance Life Co(Anthem BCBS)All,No,29109.0,No,,,53,,,
9886,9886,2016,KS,27811,SERFF,6,2015-08-25 12:56:34,27811,KS,KSS001,Blue Cross and Blue Shield of Kansas Service Area,No,20041.0,No,,,33,SHOP (Small Group),No,
3953,3953,2016,OK,89953,HIOS,2,2015-07-09 13:17:42,89953,OK,OKS001,AD OK,No,40109.0,No,,,65,,,
21036,5158,2014,IL,96601,SERFF,7,2014-01-22 11:51:12,96601,IL,ILS001,PPO Network,No,17045.0,No,,,27,Individual,,No
17165,1287,2014,MS,94237,HIOS,4,2013-08-30 07:44:10,94237,MS,MSS001,Magnolia Health Plan,No,28089.0,No,,,43,,,
38592,13840,2015,MI,74709,SERFF,1,2014-08-08 13:45:50,74709,MI,MIS001,Michigan Service Area,No,26055.0,No,,,34,SHOP (Small Group),,Yes
11519,11519,2016,MI,63641,SERFF,3,2015-08-27 03:52:03,63641,MI,MIS002,MI Alliance,No,26013.0,No,,,94,SHOP (Small Group),Yes,
34606,9854,2015,IL,20129,SERFF,9,2015-07-24 22:33:25,20129,IL,ILS001,Illinois Public,No,17179.0,No,,,94,Individual,,No
21974,6096,2014,MI,66587,SERFF,3,2013-09-11 14:31:09,66587,MI,MIS001,DentalGuard Preferred,No,26153.0,No,,,83,SHOP (Small Group),,Yes
12250,12250,2016,MI,98185,SERFF,4,2015-08-22 23:36:24,98185,MI,MIS001,BCN Commercial,No,26161.0,No,,,83,SHOP (Small Group),No,
23872,7994,2014,VA,16064,SERFF,6,2014-06-23 15:22:56,16064,VA,VAS001,Anthem Health Plans of VA (Anthem BCBS),No,51131.0,No,,,85,SHOP (Small Group),,Yes
3125,3125,2016,NC,11512,HIOS,10,2015-08-26 09:56:12,11512,NC,NCS004,Blue Select Target - SG,No,37183.0,No,,,76,,,
5979,5979,2016,TX,23891,HIOS,7,2015-08-26 09:56:12,23891,TX,TXS001,DHMO,No,48337.0,No,,,144,,,
5828,5828,2016,TX,19312,HIOS,2,2015-08-19 14:41:20,19312,TX,TXS001,Premier Access Dental Individual PPO Off & ON,No,48467.0,No,,,144,,,
32947,8195,2015,TX,91716,HIOS,9,2014-09-06 03:39:47,91716,TX,TXS005,OAMC_TX_Costco_Off Exchange,No,48015.0,No,,,89,,,
31858,7106,2015,TX,23891,HIOS,10,2014-11-15 04:52:41,23891,TX,TXS001,DHMO,No,48331.0,No,,,141,,,
34792,10040,2015,IL,67807,SERFF,3,2014-11-15 10:06:04,67807,IL,ILS005,Service Area 5,No,17119.0,No,,,55,Individual,,No
12144,12144,2016,MI,98185,SERFF,4,2015-08-22 23:36:24,98185,MI,MIS001,BCN Commercial,No,26039.0,No,,,30,Individual,No,
11749,11749,2016,MI,71667,SERFF,5,2015-08-23 14:39:40,71667,MI,MIS001,MI IEX Compass,No,26027.0,Yes,"49031, 49047, 49061, 49067, 49095, 49112, 49130","To meet the state network requirements, the service area is limited to the areas that are within 30 min/miles of the hospital network.",14,Individual,No,
5479,5479,2016,TN,14002,HIOS,5,2015-10-20 04:38:50,14002,TN,TNS002,Greater Knoxville,No,47089.0,No,,,28,,,
26644,1892,2015,GA,89942,HIOS,7,2015-02-19 06:21:02,89942,GA,GAS002,Individual,No,13143.0,No,,,61,,,
17137,1259,2014,MS,94237,HIOS,4,2013-08-30 07:44:10,94237,MS,MSS001,Magnolia Health Plan,No,28027.0,No,,,15,,,
21717,5839,2014,NE,15438,SERFF,5,2013-10-15 10:04:03,15438,NE,NES001,Nebraska 1,No,31119.0,No,,,69,Individual,,No
17405,1527,2014,ND,73751,HIOS,4,2013-09-02 11:39:25,73751,ND,NDS002,Medica Applause,No,38045.0,No,,,54,,,
