,Unnamed: 0,BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,IssuerId2,StateCode2,StandardComponentId,PlanId,BenefitName,CopayInnTier1,CopayInnTier2,CopayOutofNet,CoinsInnTier1,CoinsInnTier2,CoinsOutofNet,IsEHB,IsStateMandate,IsCovered,QuantLimitOnSvc,LimitQty,LimitUnit,MinimumStay,Exclusions,Explanation,EHBVarReason,IsExclFromInnMOOP,IsExclFromOonMOOP,RowNumber,IsSubjToDedTier1,IsSubjToDedTier2
3697704,728582,2015,PA,31609,HIOS,7,7/22/2015 9:15,31609,PA,31609PA0150014,31609PA0150014-01,Routine Dental Services (Adult),,,,,,,,,Not Covered,,,,,,,,,,68,,
1907612,103359,2014,FL,16842,HIOS,6,2014-01-17 09:36:20,16842,FL,16842FL0070088,16842FL0070088-03,Dental Check-Up for Children,$0,,$0,No Charge,,100%,Yes,,Covered,Yes,1.0,Visit(s) per 6 months,,,,,No,No,104,No,No
2990902,21780,2015,GA,20544,HIOS,5,11/12/2014 5:24,20544,GA,20544GA0200028,20544GA0200028-02,Laboratory Outpatient and Professional Services,No Charge,,No Charge,No Charge,,No Charge,Yes,,Covered,,,,,,,,No,No,108,Yes,No
1116404,1116404,2016,TX,33602,OPM,6,2015-11-21 06:31:07,33602,TX,33602TX0780046,33602TX0780046-02,Abortion for Which Public Funding is Prohibited,,,,,,,,,Not Covered,,,,,,,,No,No,116,,
964840,964840,2016,WI,79475,HIOS,11,2015-10-18 12:35:12,79475,WI,79475WI0340015,79475WI0340015-01,Routine Foot Care,,,,,,,,,,,,,,,,,,,99,,
1224823,1224823,2016,IL,36096,SERFF,23,2015-11-19 07:02:40,36096,IL,36096IL0810044,36096IL0810044-03,Hospice Services,Not Applicable,,Not Applicable,20% Coinsurance after deductible,,100%,Yes,,Covered,,,,,,,,No,No,66,,
155838,155838,2016,FL,56503,HIOS,7,2015-10-20 04:38:50,56503,FL,56503FL1990002,56503FL1990002-01,Accidental Dental,$40,,Not Applicable,Not Applicable,,30% Coinsurance after deductible,Yes,,Covered,,,,,,Pre-Certification/Pre-Authorization of coverage required.  Out of pocket information refers to outpatient physician services only.  Please refer to other benefit information for further details.,Substantially Equal,No,No,118,,
3342592,373470,2015,NC,11512,HIOS,9,1/16/2015 17:32,11512,NC,11512NC0100029,11512NC0100029-06,Hearing Aids,No Charge,,No Charge,50% Coinsurance after deductible,,60% Coinsurance after deductible,Yes,Yes,Covered,Yes,1.0,Item(s) per 3 Years,,,"One hearing aid per hearing impaired ear, and replacement hearing aids for members under the age of 22. Once every 36 months.",Substantially Equal,No,No,96,Yes,No
1135253,1135253,2016,AR,65817,SERFF,4,2015-08-27 03:52:03,65817,AR,65817AR0040001,65817AR0040001-02,Rehabilitative Occupational and Rehabilitative Physical Therapy,$0,,$0,0%,,0%,Yes,,Covered,Yes,20.0,Visit(s) per Year,,,"20 visits per year for Occupational Therapy and an additional 20 visits per year for Physical Therapy Quantitative limit units apply, see EHB benchmark",Substantially Equal,No,No,106,,
2457847,653594,2014,WI,84670,HIOS,9,2014-05-02 13:10:05,84670,WI,84670WI1330015,84670WI1330015-00,Dental Anesthesia,$0,,$0,20% Coinsurance after deductible,,100%,,Yes,Covered,,,,,,Coverage limited to children under age 5 or to individuals with a chronic disability or medical condition that requires hospitalization or general anesthesia for dental care,Additional EHB Benefit,No,No,131,Yes,Yes
989256,989256,2016,WI,84670,HIOS,6,2015-10-18 12:35:12,84670,WI,84670WI1250119,84670WI1250119-00,Substance Abuse Disorder Inpatient Services,Not Applicable,,Not Applicable,30% Coinsurance after deductible,,100%,Yes,,Covered,No,,,,,,,No,No,87,,
1594060,1594060,2016,OH,41047,SERFF,5,2015-08-27 03:52:03,41047,OH,41047OH0020017,41047OH0020017-02,Off Label Prescription Drugs,$0,,Not Applicable,0%,,100%,Yes,Yes,Covered,,,,,,,,No,No,129,,
3118759,149637,2015,GA,49046,HIOS,19,1/16/2015 17:32,49046,GA,49046GA0410021,49046GA0410021-01,Bone Marrow Transplant,No Charge,,No Charge,30% Coinsurance after deductible,,100%,,Yes,Covered,,,,,,,Additional EHB Benefit,No,No,136,Yes,Yes
1517151,1517151,2016,NV,60156,SERFF,8,2015-10-20 21:37:00,60156,NV,60156NV0230033,60156NV0230033-01,Specialty Drugs,Not Applicable,,Not Applicable,50% Coinsurance after deductible,,100%,Yes,,Covered,,,,,,30 day supply only for retail or mail order.,,No,No,91,,
3943275,974153,2015,TX,33602,HIOS,7,2/19/2015 6:21,33602,TX,33602TX0460082,33602TX0460082-02,Inherited Metabolic Disorder - PKU,$0,,$0,0%,,100%,,Yes,Covered,,,,,,,,No,No,130,Yes,Yes
4530818,1561696,2015,NV,16698,SERFF,4,10/6/2014 10:59,16698,NV,16698NV0450012,16698NV0450012-02,Primary Care Visit to Treat an Injury or Illness,$0,,$0,0%,,0%,Yes,,Covered,No,,,,,,Above EHB,No,No,61,Yes,Yes
708323,708323,2016,TX,33602,HIOS,8,2015-08-26 09:56:12,33602,TX,33602TX0460275,33602TX0460275-03,Inherited Metabolic Disorder - PKU,Not Applicable,Not Applicable,Not Applicable,30% Coinsurance after deductible,Not Applicable,100%,Yes,Yes,Covered,,,,,,,,No,No,130,,
1655888,1655888,2016,OR,32536,SERFF,4,2015-08-21 06:27:38,32536,OR,32536OR0020011,32536OR0020011-02,Eye Glasses for Children,$0,,$0,0%,,0%,Yes,,Covered,,,,,,One pair of glasses per year.  Collection frames (up to $250) are covered in full.  Non-collection lenses are covered up to $150 and then 20% off.  Standard lenses are covered in full.,,No,No,103,,
3113022,143900,2015,FL,48121,HIOS,15,1/16/2015 17:32,48121,FL,48121FL0020005,48121FL0020005-06,Urgent Care Centers or Facilities,$75,,No Charge,No Charge,,50% Coinsurance after deductible,Yes,,Covered,,,,,,,,No,No,73,No,No
3299843,330721,2015,AZ,91450,HIOS,7,4/22/2015 11:06,91450,AZ,91450AZ0080025,91450AZ0080025-03,Prescription Drugs Other,No Charge,,$0,20% Coinsurance after deductible,,100%,,Yes,Covered,,,,,,,Additional EHB Benefit,No,Yes,133,Yes,No
3420013,450891,2015,ND,37160,HIOS,7,6/19/2015 13:25,37160,ND,37160ND2410014,37160ND2410014-03,Generic Drugs,No Charge,,No Charge,20% Coinsurance after deductible,,100%,Yes,,Covered,No,,,,"Weight loss drugs, drugs for hair loss, drugs for cosmetic purposes, sexual dysfunction drugs, infertility drugs, medications obtained w/out a prescription order or for any charges for the administration of legend drugs or insulin that may be self-administered unless such admin is medically appropriate and necessary. Drugs and associated expenses and devices not approved by the FDA for a particular use except as required by law (unless the practitioner certifies off-label use with a letter of medical necessity).",Subject to dispensing limit of 90 days supply.,Substantially Equal,No,Yes,88,Yes,Yes
345982,345982,2016,MO,44240,HIOS,5,2015-08-26 09:56:12,44240,MO,44240MO0160015,44240MO0160015-02,Primary Care Visit to Treat an Injury or Illness,No Charge,,Not Applicable,No Charge,,100%,Yes,,Covered,,,,,,,,No,No,61,,
1550935,1550935,2016,OH,28162,SERFF,14,2015-08-28 13:59:00,28162,OH,28162OH0060031,28162OH0060031-03,Rehabilitative Speech Therapy,Not Applicable,,Not Applicable,10% Coinsurance after deductible,,30% Coinsurance after deductible,Yes,,Covered,Yes,20.0,Visit(s) per Year,,,,,No,No,105,,
235208,235208,2016,GA,83761,HIOS,5,2015-09-24 04:04:21,83761,GA,83761GA0050021,83761GA0050021-00,Dental Anesthesia,Not Applicable,,Not Applicable,No Charge after deductible,,40% Coinsurance after deductible,Yes,Yes,Covered,,,,,,,,No,No,132,,
3822776,853654,2015,PA,75729,HIOS,8,11/14/2014 5:23,75729,PA,75729PA0012596,75729PA0012596-01,Mental/Behavioral Health Inpatient Services,No Charge,,$0,20% Coinsurance after deductible,,30% Coinsurance after deductible,Yes,,Covered,No,,,,Precertification is required for out of  network.  Limit 90 days performed by a non preferred provider per benefit year.,See Plan for Details,Substantially Equal,No,No,85,Yes,Yes
4786631,1817509,2015,VA,12028,SERFF,7,12/12/2014 12:37,12028,VA,12028VA0010015,12028VA0010015-02,Mental/Behavioral Health Inpatient Services,$0,,$0,No Charge,,No Charge,Yes,Yes,Covered,,,,,,,,No,No,85,Yes,No
4335366,1366244,2015,IL,20129,SERFF,9,7/24/2015 22:33,20129,IL,20129IL0330014,20129IL0330014-02,Infusion Therapy,$0,,$0,0%,,0%,,,Covered,No,,,,,,Additional EHB Benefit,No,No,125,Yes,No
1063672,1063672,2016,WY,47731,HIOS,3,2015-08-27 11:14:25,47731,WY,47731WY0010008,47731WY0010008-01,Basic Dental Care - Child,Not Applicable,,Not Applicable,30% Coinsurance after deductible,,30% Coinsurance after deductible,,,Covered,,,,,,,Additional EHB Benefit,No,No,110,,
2763853,959600,2014,NE,43198,SERFF,3,2013-11-27 09:24:34,43198,NE,43198NE0200001,43198NE0200001-00,Emergency Room Services,$250 Copay after deductible,,$250 Copay after deductible,10% Coinsurance after deductible,,10% Coinsurance after deductible,Yes,,Covered,,,,,,,,No,No,75,Yes,No
1266604,1266604,2016,IL,36096,SERFF,23,2015-11-19 07:02:40,36096,IL,36096IL0990038,36096IL0990038-04,Routine Dental Services (Adult),,,,,,,,,Not Covered,,,,,,,Dental Only Plan Available,No,No,68,,
3772552,803430,2015,PA,53789,HIOS,12,6/19/2015 13:25,53789,PA,53789PA0110015,53789PA0110015-01,Mental/Behavioral Health Inpatient Services,$750,$750,No Charge,No Charge,No Charge,100%,Yes,,Covered,,,,,,"Quantitative limit units apply, see EHB benchmark",,No,No,85,Yes,Yes
1111409,1111409,2016,TX,33602,OPM,6,2015-11-21 06:31:07,33602,TX,33602TX0780035,33602TX0780035-06,Non-Preferred Brand Drugs,$100,$110,$110,Not Applicable,Not Applicable,Not Applicable,Yes,,Covered,,,,,"Coverage for certain agents or medication categories may also be excluded. These include, but are not limited to: Weight Loss, Impotency, OTC Equivalents and Compounds. See benefit book for further details. Any drug not found on the drug list is not covered.",When one month supply of prescription drugs are obtained from a non-preferred pharmacy - benefits will be provided but could be at a higher copay or coinsurance. When one month supply of prescription drugs are obtained from an out of network pharmacy - benefits will be provided at 50% of the eligible charge minus the applicable copay.  Payment of the difference between the cost of a brand name drug and generic drug may also be required if a generic is available.,Substantially Equal,No,No,90,,
271878,271878,2016,IN,54192,HIOS,6,2015-10-21 05:00:18,54192,IN,54192IN0010003,54192IN0010003-05,Diabetes Education,Not Applicable,,Not Applicable,10% Coinsurance after deductible,,100%,Yes,,Covered,,,,,,,,No,No,123,,
1149851,1149851,2016,DE,76168,SERFF,5,2015-10-21 17:48:08,76168,DE,76168DE0410008,76168DE0410008-02,Cosmetic Surgery,,,,,,,,,Not Covered,,,,,,,Additional EHB Benefit,No,No,80,,
2820758,1016505,2014,OH,41047,SERFF,2,2013-09-02 14:52:56,41047,OH,41047OH0010004,41047OH0010004-03,Dental Check-Up for Children,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,,,104,,
1403285,1403285,2016,MI,60829,SERFF,5,2015-08-24 05:58:52,60829,MI,60829MI0190001,60829MI0190001-01,Substance Abuse Disorder Inpatient Services,Not Applicable,,Not Applicable,20% Coinsurance after deductible,,100%,Yes,,Covered,,,,,,Authorization required.,,No,No,87,,
788278,788278,2016,TX,33602,HIOS,8,2015-08-26 09:56:12,33602,TX,33602TX0770044,33602TX0770044-05,Prosthetic Devices,Not Applicable,Not Applicable,Not Applicable,20% Coinsurance after deductible,Not Applicable,50% Coinsurance after deductible,Yes,Yes,Covered,,,,,,,Additional EHB Benefit,No,No,124,,
2248088,443835,2014,PA,33871,HIOS,7,2013-10-15 07:27:56,33871,PA,33871PA0040006,33871PA0040006-02,Routine Dental Services (Adult),,,,,,,,,Not Covered,,,,,,,,,,68,,
4801197,1832075,2015,OH,14650,SERFF,10,11/15/2014 10:06,14650,OH,14650OH0230035,14650OH0230035-02,Basic Dental Care - Adult,,,,,,,,,Not Covered,,,,,,,,,,113,,
1651517,1651517,2016,OR,30969,SERFF,7,2015-09-27 20:37:48,30969,OR,30969OR0040001,30969OR0040001-02,Inpatient Physician and Surgical Services,$0,,Not Applicable,0%,,100%,Yes,,Covered,,,,,,,,No,No,78,,
3791950,822828,2015,TN,60299,HIOS,6,11/9/2014 4:38,60299,TN,60299TN0210004,60299TN0210004-00,Mental/Behavioral Health Outpatient Services,No Charge,,No Charge,0% Coinsurance after deductible,,0% Coinsurance after deductible,Yes,,Covered,,,,,,,Substantially Equal,No,No,84,Yes,No
1767815,1767815,2016,VA,88380,SERFF,24,2015-10-21 17:48:08,88380,VA,88380VA0730070,88380VA0730070-01,Prenatal and Postnatal Care,Not Applicable,,Not Applicable,20% Coinsurance after deductible,,30% Coinsurance after deductible,Yes,Yes,Covered,,,,,,,,No,No,82,,
3487489,518367,2015,LA,67243,HIOS,8,4/22/2015 11:06,67243,LA,67243LA0090006,67243LA0090006-02,Mental/Behavioral Health Outpatient Services,$0,,No Charge,0%,,No Charge,Yes,,Covered,,,,,,,,No,Yes,84,No,No
3609639,640517,2015,OK,98905,HIOS,5,11/11/2014 4:41,98905,OK,98905OK0170055,98905OK0170055-01,Home Health Care Services,No Charge,,$0,No Charge after deductible,,100%,Yes,,Covered,No,,,,,,Substantially Equal,No,No,74,Yes,Yes
856424,856424,2016,TX,85947,HIOS,10,2015-10-18 12:35:12,85947,TX,85947TX0010007,85947TX0010007-02,Orthodontia - Adult,,,,,,,,,Not Covered,,,,,,,,,,114,,
1538237,1538237,2016,OH,23340,SERFF,9,2015-08-27 03:52:03,23340,OH,23340OH0010013,23340OH0010013-01,Long-Term/Custodial Nursing Home Care,,,,,,,,,Not Covered,,,,,,,,,,70,,
1611479,1611479,2016,OH,74313,SERFF,6,2015-08-23 14:39:40,74313,OH,74313OH0210006,74313OH0210006-00,Basic Dental Care - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,No,No,110,,
1820846,16593,2014,AZ,23307,HIOS,8,2014-01-16 07:24:04,23307,AZ,23307AZ0400013,23307AZ0400013-05,Skilled Nursing Facility,$0 Copay per Day,,$0 Copay per Day,20% Coinsurance after deductible,,100%,Yes,,Covered,Yes,90.0,Days per Year,,,,,No,No,81,Yes,Yes
3217232,248110,2015,AL,68259,HIOS,8,12/11/2014 4:09,68259,AL,68259AL0030003,68259AL0030003-03,X-rays and Diagnostic Imaging,No Charge,,No Charge,10% Coinsurance after deductible,,100%,Yes,,Covered,No,,,,,,,No,No,109,Yes,Yes
4876275,1907153,2015,OH,33931,SERFF,5,12/11/2014 11:35,33931,OH,33931OH0030006,33931OH0030006-02,Routine Eye Exam for Children,$0,,$0,0%,,100%,Yes,,Covered,Yes,1.0,Visit(s) per Year,,,,,No,No,102,Yes,Yes
3578557,609435,2015,IN,91842,HIOS,4,11/9/2014 4:38,91842,IN,91842IN0190040,91842IN0190040-00,Major Dental Care - Child,No Charge,,No Charge,50%,,50%,Yes,,Covered,,,,,,,,No,No,112,No,No
1307297,1307297,2016,IL,79763,SERFF,9,2015-08-30 09:33:32,79763,IL,79763IL0520001,79763IL0520001-03,Hearing Aids,Not Applicable,Not Applicable,Not Applicable,20% Coinsurance after deductible,40% Coinsurance after deductible,50% Coinsurance after deductible,Yes,,Covered,,,,,,"Benefits available only for Insured Dependent children under age 19. Includes routine hearing exams. Please note that this is a 3-tiered network plan. Refer to the Summary of Benefits in order to better understand the out-of-pocket cost for covered expenses based on the network used. If you need additional assistance regarding 3-tiered network plans, you may contact LLH at 1-844-674-3834.",,No,No,96,,
4419393,1450271,2015,IL,67807,SERFF,3,11/15/2014 10:06,67807,IL,67807IL0280018,67807IL0280018-06,Diabetes Care Management,No Charge,,No Charge,No Charge,,50% Coinsurance after deductible,,,Covered,,,,,,,Additional EHB Benefit,No,No,140,No,No
2033720,229467,2014,IN,35065,HIOS,4,2013-08-30 07:44:10,35065,IN,35065IN0010007,35065IN0010007-03,Major Dental Care - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,,,112,,
3177786,208664,2015,FL,56503,HIOS,7,11/15/2014 4:52,56503,FL,56503FL2140001,56503FL2140001-01,Dental Check-Up for Children,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,No,No,104,No,No
2392517,588264,2014,WI,38166,HIOS,5,2013-09-17 16:07:07,38166,WI,38166WI0170003,38166WI0170003-01,Delivery and All Inpatient Services for Maternity Care,No Charge after deductible,,$0,20% Coinsurance after deductible,,100%,Yes,,Covered,No,,,,"Prenatal cradle (maternity belt), Home delivery and home visits, Services performed by a licensed midwife or certified professional midwife. Services must be provided by a certified nurse midwife to be covered, Any services to evaluate fertility or infertility, or to restore, enhance or promote fertility, In-vitro fertilization, gamete intrafallopian transfer (GIFT) and related or similar services, Reversal of sterilization surgery, Services to determine gender, Abortion procedures to end a pregnancy except as specifically stated above",,,No,No,83,Yes,Yes
300997,300997,2016,LA,44965,HIOS,10,2015-08-25 05:06:23,44965,LA,44965LA0570025,44965LA0570025-00,Primary Care Visit to Treat an Injury or Illness,$20,Not Applicable,Not Applicable,Not Applicable,Not Applicable,100%,Yes,,Covered,No,,,,,,,No,No,61,,
4409145,1440023,2015,DE,67190,SERFF,10,5/22/2015 14:18,67190,DE,67190DE0060001,67190DE0060001-00,Well Baby Visits and Care,$0,,$0,No Charge,,50%,,,Covered,,,,,Coverage is limited to 7 exams in the first 12 months of life; 3 exams in the second 12 months of life; 3 exams in the third 12 months of life; 1 exam per 12 months thereafter to age 22.,,Substantially Equal,No,No,107,No,No
4191826,1222704,2015,WI,84670,HIOS,8,4/22/2015 11:06,84670,WI,84670WI1330092,84670WI1330092-01,Habilitation Services,No Charge,,No Charge,30% Coinsurance after deductible,,100%,,Yes,Covered,Yes,20.0,Visit(s) per Year,,No coverage for biofeedback.,Habilitation services covered at parity with rehabilitative services.  Rehab limits apply.,Additional EHB Benefit,No,Yes,93,Yes,Yes
1825130,20877,2014,AZ,51485,HIOS,13,2014-03-19 07:06:49,51485,AZ,51485AZ0160022,51485AZ0160022-01,Abortion for Which Public Funding is Prohibited,,,,,,,,,,,,,,,,,,,116,,
3147757,178635,2015,AZ,53901,HIOS,4,9/4/2014 3:25,53901,AZ,53901AZ1080002,53901AZ1080002-05,Habilitation Services,No Charge,,No Charge,10% Coinsurance after deductible,,100%,,,Covered,Yes,60.0,Visit(s) per Year,,"Group PT or OT, private duty nursing, or custodial care.",60 visits per calendar year.,Additional EHB Benefit,No,No,93,Yes,No
192458,192458,2016,GA,49046,HIOS,16,2015-08-25 05:06:23,49046,GA,49046GA0420012,49046GA0420012-00,Weight Loss Programs,,,,,,,,,Not Covered,,,,,,,,,,101,,
406811,406811,2016,ND,73751,HIOS,10,2015-08-27 11:14:25,73751,ND,73751ND0080001,73751ND0080001-02,Hearing Aids,,,,,,,,,Not Covered,,,,,,,,,,96,,
4076260,1107138,2015,WI,41436,HIOS,3,9/4/2014 3:25,41436,WI,41436WI0010009,41436WI0010009-00,Major Dental Care - Child,No Charge,,No Charge,50% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,,Covered,,,,,,,,No,No,112,Yes,Yes
356444,356444,2016,MS,48963,HIOS,7,2015-08-27 11:14:25,48963,MS,48963MS0490012,48963MS0490012-01,Transplant,Not Applicable,,Not Applicable,No Charge after deductible,,25% Coinsurance after deductible,,,Covered,No,,,,,,Additional EHB Benefit,No,No,117,,
4863973,1894851,2015,SD,31195,SERFF,5,1/23/2015 12:43,31195,SD,31195SD0080007,31195SD0080007-03,Inpatient Physician and Surgical Services,No Charge,,$0,30% Coinsurance after deductible,,100%,Yes,,Covered,,,,,,,,No,No,78,Yes,Yes
362851,362851,2016,MS,90714,HIOS,8,2015-08-27 11:14:25,90714,MS,90714MS0010003,90714MS0010003-00,Urgent Care Centers or Facilities,$100,,Not Applicable,Not Applicable,,100%,Yes,,Covered,,,,,,,,No,No,73,,
4460375,1491253,2015,AR,70525,SERFF,3,11/15/2014 10:06,70525,AR,70525AR0070127,70525AR0070127-01,Prosthetic Devices,No Charge after deductible,,No Charge after deductible,50% Coinsurance after deductible,,50% Coinsurance after deductible,,,Covered,,,,,,Replaced no more frequently than once per 3-yr period except when necessary for growth or end of device's useful life.,Additional EHB Benefit,No,No,124,Yes,Yes
211063,211063,2016,GA,82824,HIOS,8,2015-10-18 12:35:12,82824,GA,82824GA0100006,82824GA0100006-00,Major Dental Care - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,,,112,,
349464,349464,2016,MO,44527,HIOS,3,2015-08-11 02:55:25,44527,MO,44527MO0160006,44527MO0160006-03,Substance Abuse Disorder Inpatient Services,No Charge after deductible,,No Charge after deductible,No Charge after deductible,,50% Coinsurance after deductible,Yes,Yes,Covered,,,,,,,,No,No,87,,
995203,995203,2016,WI,84670,HIOS,6,2015-10-18 12:35:12,84670,WI,84670WI1250134,84670WI1250134-03,Chemotherapy,Not Applicable,,Not Applicable,No Charge after deductible,,100%,,,Covered,No,,,,,,Additional EHB Benefit,No,No,121,,
1288968,1288968,2016,IL,36096,SERFF,23,2015-11-19 07:02:40,36096,IL,36096IL0990089,36096IL0990089-01,Non-Emergency Care When Traveling Outside the U.S.,,,,,,,,,Not Covered,,,,,,,,No,No,67,,
462963,462963,2016,OK,87571,HIOS,10,2015-08-26 09:56:12,87571,OK,87571OK0320006,87571OK0320006-02,Major Dental Care - Child,,,,,,,Yes,,Not Covered,,,,,,,Dental Only Plan Available,No,No,112,,
4749603,1780481,2015,NV,95865,SERFF,5,10/6/2014 10:59,95865,NV,95865NV0030017,95865NV0030017-00,Routine Foot Care,,,,,,,,,,,,,,,Covered only for diabetic patients,,,,99,,
4139895,1170773,2015,WI,84670,HIOS,8,4/22/2015 11:06,84670,WI,84670WI1250012,84670WI1250012-06,Routine Foot Care,No Charge,,No Charge,No Charge after deductible,,100%,,,Covered,No,,,,,"Coverage limited to services which are associated with a medical diagnosis of diabetes, peripheral vascular disease, or peripheral neuropathy.",Additional EHB Benefit,No,Yes,99,Yes,Yes
2845886,1041633,2014,OH,59401,SERFF,3,2013-10-15 10:04:03,59401,OH,59401OH0010001,59401OH0010001-00,Dental Check-Up for Children,No Charge,,$0,No Charge,,100%,Yes,,Covered,Yes,1.0,Visit(s) per 6 Months,,,$0 Minimum $0 Maximum,Other Law/Regulation,No,No,104,No,No
4805164,1836042,2015,VA,15668,SERFF,9,9/9/2014 16:12,15668,VA,15668VA0140031,15668VA0140031-00,Specialist Visit,$20,,No Charge,No Charge,,40% Coinsurance after deductible,Yes,,Covered,,,,,Non-interactive telemedicine services; Non-preventive nutritional therapy/counseling,,,No,No,62,No,No
2137128,332875,2014,MS,94237,HIOS,4,2013-08-30 07:44:10,94237,MS,94237MS0010012,94237MS0010012-02,Chiropractic Care,$0,,$0,0%,,100%,Yes,,Covered,Yes,20.0,Visit(s) per Year,,,,,No,No,94,Yes,Yes
1044728,1044728,2016,WI,94529,HIOS,6,2015-11-14 04:47:21,94529,WI,94529WI0220024,94529WI0220024-00,Routine Dental Services (Adult),,,,,,,,,,,,,,,,,,,68,,
1925527,121274,2014,FL,23841,HIOS,6,2013-11-26 13:14:08,23841,FL,23841FL0080009,23841FL0080009-04,Accidental Dental,$60,,No Charge,No Charge,,50% Coinsurance after deductible,Yes,,Covered,No,,,,Member cost share based on place and type of service.,,,No,No,118,No,No
2021919,217666,2014,GA,89942,HIOS,7,2014-01-17 09:36:20,89942,GA,89942GA0060005,89942GA0060005-01,Well Baby Visits and Care,No Charge,,No Charge,No Charge,,100%,,,Covered,,,,,,,Additional EHB Benefit,No,No,107,No,No
2514182,709929,2014,MT,30751,OPM,3,2013-10-17 08:32:07,30751,MT,30751MT0570005,30751MT0570005-03,Chemotherapy,No Charge,,No Charge,30% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,,Covered,,,,,,,,No,No,121,Yes,Yes
3109001,139879,2015,GA,47783,HIOS,4,9/6/2014 3:39,47783,GA,47783GA0510035,47783GA0510035-06,Outpatient Rehabilitation Services,$0,,$0,10%,,100%,Yes,,Covered,Yes,20.0,Visit(s) per Year,,Coverage is limited to 20 visits PT/OT combined.,,Substantially Equal,No,No,92,Yes,No
623137,623137,2016,TN,14002,HIOS,5,2015-10-20 04:38:50,14002,TN,14002TN0190084,14002TN0190084-01,Urgent Care Centers or Facilities,$25,,Not Applicable,Not Applicable,,50% Coinsurance after deductible,Yes,,Covered,No,,,,,Urgent Care benefits are determined by place of service. Benefits displayed are for urgent care services received at a physician's office.,,No,No,73,,
1394185,1394185,2016,MI,40047,SERFF,5,2015-11-18 10:26:26,40047,MI,40047MI0010002,40047MI0010002-01,Routine Dental Services (Adult),,,,,,,,,Not Covered,,,,,,,,,,68,,
1959701,155448,2014,FL,56503,HIOS,6,2014-03-19 07:06:49,56503,FL,56503FL1170004,56503FL1170004-06,Accidental Dental,No Charge,,No Charge,20% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,,Covered,,,,,,Pre-Certification/Pre-Authorization of coverage required.  Out of pocket information refers to outpatient physician services only.  Please refer to other benefit information for further details.,Substantially Equal,No,No,118,Yes,Yes
4114540,1145418,2015,WI,58326,HIOS,5,9/6/2014 3:39,58326,WI,58326WI0060011,58326WI0060011-01,Treatment for Temporomandibular Joint Disorders,No Charge,,No Charge,20%,,100%,Yes,Yes,Covered,Yes,1250.0,Dollars per Year,,,"$1,250 per year for diagnostic procedures and non-surgical treatment",Substantially Equal,No,No,126,Yes,Yes
2025863,221610,2014,GA,93332,HIOS,8,2014-01-16 07:24:04,93332,GA,93332GA0710018,93332GA0710018-05,Hearing Aids,,,,,,,,,Not Covered,,,,,,,,,,96,,
4623996,1654874,2015,NV,34996,SERFF,11,12/10/2014 23:15,34996,NV,34996NV0040002,34996NV0040002-05,Specialist - Telehealth Visit,No Charge,No Charge,No Charge,0%,0%,50% Coinsurance after deductible,,,Covered,,,,,,,Above EHB,No,No,141,Yes,Yes
2206220,401967,2014,OK,81457,HIOS,4,2013-09-02 11:39:25,81457,OK,81457OK0060001,81457OK0060001-00,Accidental Dental,,,,,,,,,,,,,,,,,,,118,,
543514,543514,2016,PA,53789,HIOS,5,2015-10-20 04:38:50,53789,PA,53789PA0100006,53789PA0100006-06,Abortion for Which Public Funding is Prohibited,,,,,,,,,Not Covered,,,,,,,,,,116,,
2868943,1064690,2014,OH,92036,SERFF,6,2014-06-23 15:22:56,92036,OH,92036OH0050008,92036OH0050008-01,Hearing Aids,,,,,,,,,Not Covered,No,,,,,No coverage except for cochlear implants,Other Law/Regulation,,,96,,
1357978,1357978,2016,ME,96667,SERFF,3,2015-08-23 14:39:40,96667,ME,96667ME0250002,96667ME0250002-01,"Inpatient Hospital Services (e.g., Hospital Stay)",Not Applicable,,Not Applicable,20% Coinsurance after deductible,,100%,Yes,,Covered,,,,,,,,No,Yes,77,,
1628707,1628707,2016,OH,78726,SERFF,7,2015-08-28 13:59:00,78726,OH,78726OH0020001,78726OH0020001-00,Emergency Room Services,$400 Copay before deductible,,$400 Copay before deductible,20% Coinsurance after deductible,,20% Coinsurance after deductible,Yes,Yes,Covered,No,,,,,,,No,No,75,,
622308,622308,2016,TN,14002,HIOS,5,2015-10-20 04:38:50,14002,TN,14002TN0190076,14002TN0190076-00,Durable Medical Equipment,Not Applicable,,Not Applicable,20% Coinsurance after deductible,,50% Coinsurance after deductible,Yes,,Covered,No,,,,,,,No,No,95,,
986553,986553,2016,WI,84670,HIOS,6,2015-10-18 12:35:12,84670,WI,84670WI1250113,84670WI1250113-03,"Other Practitioner Office Visit (Nurse, Physician Assistant)",Not Applicable,,Not Applicable,No Charge after deductible,,100%,Yes,,Covered,No,,,,,,,No,No,63,,
